,District,Amount
0,7th Plymouth,21775.36
1,14th Middlesex,99378.12
2,37th Middlesex,35709.31
3,11th Bristol,33046.59
4,1st Essex,56127.1
5,3rd Hampshire,37860.21
6,17th Essex,198851.93
7,18th Essex,244513.08
8,23rd Middlesex,32471.23
9,24th Middlesex,211074.32
10,7th Middlesex,113582.17
11,2nd Franklin,36016.23
12,2nd Bristol,31692.51
13,14th Bristol,32025.84
14,7th Worcester,13310.78
15,6th Norfolk,797697.68
16,2nd Barnstable,10751.56
17,5th Barnstable,75884.2
18,5th Worcester,36758.59
19,21st Middlesex,1166659.54
20,8th Worcester,44548.35
21,12th Bristol,15799.29
22,6th Essex,20047.0
23,22nd Middlesex,13362.0
24,1st Suffolk,1074184.43
25,2nd Suffolk,1087937.03
26,3rd Suffolk,1074184.43
27,4th Suffolk,1074184.43
28,5th Suffolk,1074184.43
29,6th Suffolk,1074184.43
30,7th Suffolk,1074184.43
31,8th Suffolk,1199374.67
32,9th Suffolk,1074184.43
33,10th Suffolk,1526784.51
34,11th Suffolk,1074184.43
35,12th Suffolk,1175515.97
36,13th Suffolk,1262381.7
37,14th Suffolk,1074184.43
38,15th Suffolk,1526784.51
39,17th Suffolk,1074184.43
40,18th Suffolk,1526784.51
41,2nd Essex,102202.32
42,12th Worcester,41225.0
43,5th Norfolk,78342.29
44,1st Barnstable,38715.41
45,4th Barnstable,26746.44
46,8th Plymouth,22504.21
47,9th Plymouth,9511.37
48,10th Plymouth,22986.74
49,11th Plymouth,9511.37
50,15th Norfolk,452600.08
51,25th Middlesex,125190.23
52,26th Middlesex,158932.33
53,29th Middlesex,293563.39
54,2nd Plymouth,12057.45
55,1st Middlesex,52497.61
56,16th Middlesex,29773.5
57,17th Middlesex,29773.5
58,16th Suffolk,44473.6
59,6th Hampden,72075.29
60,7th Hampden,77389.57
61,8th Hampden,500.0
62,9th Hampden,58445.29
63,"Barnstable, Dukes and Nantucket",11225.0
64,3rd Plymouth,73034.0
65,13th Essex,51955.0
66,9th Bristol,61278.8
67,11th Norfolk,103643.35
68,1st Franklin,76095.69
69,5th Bristol,135316.84
70,13th Norfolk,109458.16
71,36th Middlesex,11926.0
72,6th Worcester,37680.81
73,6th Plymouth,21632.5
74,12th Plymouth,33996.59
75,2nd Hampden,155338.41
76,12th Hampden,93504.45
77,2nd Hampshire,9305.17
78,5th Essex,50082.36
79,28th Middlesex,12350.0
80,10th Bristol,37413.62
81,6th Bristol,25209.73
82,7th Bristol,25209.73
83,8th Bristol,64956.32
84,3rd Barnstable,13948.73
85,3rd Worcester,23000.0
86,1st Bristol,7883.33
87,6th Middlesex,110482.17
88,13th Middlesex,307765.37
89,10th Norfolk,69714.04
90,2nd Worcester,15174.89
91,9th Worcester,44000.0
92,4th Berkshire,1402046.0
93,2nd Berkshire,13129.54
94,5th Plymouth,67181.46
95,3rd Essex,11725.0
96,14th Essex,45521.92
97,15th Essex,27265.55
98,3rd Norfolk,215402.48
99,1st Worcester,14700.0
100,8th Middlesex,969929.05
101,5th Hampden,4800.0
102,3rd Middlesex,18769.09
103,4th Essex,26750.0
104,16th Essex,5902.33
105,17th Worcester,55840.48
106,4th Worcester,38008.66
107,15th Middlesex,103957.18
108,9th Middlesex,104278.93
109,18th Middlesex,28682.12
110,8th Essex,166014.94
111,9th Essex,44883.94
112,10th Essex,15862.94
113,11th Essex,15862.94
114,20th Middlesex,86152.9
115,32nd Middlesex,174844.69
116,33rd Middlesex,69394.69
117,35th Middlesex,90040.92
118,8th Norfolk,48215.01
119,4th Middlesex,231783.87
120,4th Plymouth,41367.67
121,9th Norfolk,45130.94
122,34th Middlesex,54388.33
123,10th Worcester,73695.11
124,7th Norfolk,102736.32
125,5th Middlesex,59652.5
126,13th Bristol,28046.59
127,10th Middlesex,1038093.89
128,11th Middlesex,786796.8
129,12th Middlesex,786796.8
130,1st Hampshire,5142.93
131,4th Bristol,14800.0
132,12th Norfolk,662090.25
133,18th Worcester,210520.03
134,1st Hampden,32810.82
135,12th Essex,24755.0
136,3rd Berkshire,4628.0
137,1st Plymouth,23821.64
138,1st Norfolk,189602.06
139,2nd Norfolk,188197.27
140,30th Middlesex,36718.78
141,19th Suffolk,22813.03
142,7th Essex,70895.92
143,11th Worcester,358334.35
144,27th Middlesex,33742.1
145,10th Hampden,57945.29
146,11th Hampden,57945.29
147,31st Middlesex,1121488.5
148,3rd Bristol,9916.84
149,19th Middlesex,226659.62
150,14th Norfolk,898118.53
151,14th Worcester,48819.48
152,4th Hampden,44000.0
153,4th Norfolk,25017.72
154,13th Worcester,44490.48
155,15th Worcester,44490.48
156,16th Worcester,44490.48
