"Berkshire, Hampshire, Franklin & Hampden",95950.81
Bristol & Norfolk,21757.33
Cape & Islands,70549.13
Fifth Middlesex,93987.65
First Bristol & Plymouth,175882.56
First Essex,179390.0
First Essex & Middlesex,293502.74
First Hampden & Hampshire,274029.93
First Middlesex,54441.59
First Middlesex & Norfolk,625363.52
First Plymouth & Bristol,75261.86
First Suffolk,429286.06999999995
First Suffolk & Middlesex,654668.78
First Worcester,143700.75
Fourth Middlesex,258518.21
Hampden,73683.09
"Hampshire, Franklin & Worcester",152543.63
Middlesex & Suffolk,514748.64
Middlesex & Worcester,235705.91
Norfolk & Plymouth,473827.04
Norfolk & Suffolk,529861.0700000001
"Norfolk, Bristol & Middlesex",211327.36000000002
"Norfolk, Bristol & Plymouth",681775.81
Plymouth & Barnstable,80527.23999999999
Plymouth & Norfolk,159059.93
Second Bristol & Plymouth,198414.71
Second Essex,225415.69
Second Essex & Middlesex,260135.12
Second Hampden & Hampshire,63057.47
Second Middlesex,225135.66000000003
Second Middlesex & Norfolk,269731.71
Second Plymouth & Bristol,34691.49
Second Suffolk,429286.06999999995
Second Suffolk & Middlesex,2265869.72
Second Worcester,159076.93
Third Essex,45605.32
Third Middlesex,402165.55
Worcester & Middlesex,61169.05
Worcester & Norfolk,100590.84
"Worcester, Hampden, Hampshire & Middlesex",63159.44
