,Senate District,Amount
0,Bristol & Norfolk,235464.64
1,Cape & Islands,353871.73
2,Fifth Middlesex,1072782.64
3,First Bristol & Plymouth,327750.98
4,First Essex,213896.46
5,First Essex & Middlesex,767151.46
6,First Middlesex,211728.92
7,First Plymouth & Bristol,275129.72
8,First Worcester,320158.97
9,Fourth Middlesex,623019.54
10,Middlesex & Worcester,767606.88
11,Norfolk & Plymouth,9789060.71
12,"Norfolk, Bristol & Middlesex",5306480.26
13,"Norfolk, Bristol & Plymouth",1453554.48
14,Plymouth & Barnstable,255842.96
15,Plymouth & Norfolk,913271.56
16,Second Essex,525444.56
17,Second Essex & Middlesex,424587.03
18,Second Hampden & Hampshire,309697.85
19,Second Plymouth & Bristol,306329.33
20,Second Worcester,727732.6699999998
21,Third Essex,1841731.25
22,Worcester & Middlesex,135939.29
23,Worcester & Norfolk,326303.91000000003
24,"Worcester, Hampden, Hampshire & Middlesex",150018.15
